address,amount
0x2a47182d122d709420d42becc2a2ebd61cd39bbb,30000
0x303068cb328ccc694a48d1c30dff626335887457,30000
0x45b01bd095ad18f1ae7a83eca65722cff9287942,30000
0x4f3b3b13848db5769ac629422e06071e987ec979,30000
0x0bc83e974de6c636063a90153fff3b8f8cc2d01d,30000
0x437e1dc933c90879649be80681d1e98d04fb95c2,30000
0xa7c3995214b953ba32839f6ba2d3c0716bc6fc11,30000
0xe3cf5fa5cb7e23ca5792c3253a11d6c8059e5998,30000
0x7f8c53c90c86cb40a3d1db90633ccd75637747eb,30000
0xe86accc622025c7a0e30f0ee6158afa961926792,30000
0x7ac065a7462af18c9d181598bcd08353f06aecc9,30000
0x8344092a855da7795d1ab8b6f54e2e66e24f999f,30000
0x1ee7aeee409bf3898f7625d125471dd00de2c27f,30000
0x410b929b4f1b74d39d80924fda9b807810d08089,30000
0xdd6827f3559ba63ea2f2b212e7c3c308d4dde5f3,30000
0xe53af7bf7df84f440bbee242cb02b8d3422dad3c,30000
0x2b7a866c8a1735cfabe71f7916c2564db2338a7d,30000
0x1baa9f063660800d4a4b31fb347c92f840b14b9c,30000
0xcba9a44acda1d88993dfe5b1cee3015cd9028fbc,30000
0xfca11ad8e98d7fa5edf78a9c3c03897a6ea73035,30000
0xfda3b7684e00d2a9aeae1b1a37de81fa95c298fa,30000
0xd9b4278a7af8b6b5d6c3dd4f9ce9dd47b8ef2a20,30000
0x8c055a8506644be12e915522d4d6dcb302dc16e4,30000
0x759385732c74f4ad702e4a3f1c6869623cdece76,30000
0x90a966bd61640ef1db728a2306411518e31d285a,30000
0xcaba42eb0918e095ee37a2d00cb4665607b499f2,30000
0x0c9512cd871ae50dec0dfc4268b4f969c600a5e7,30000
0xbeaaf8a3863393566bddc56f605499a90882d272,30000
0xe33be990cf37ff85da565d7926a6085f92b475c7,30000
0x4d9d00d3dfd6e8e4224f67ed55db9780a26aaae2,30000
0x381c5c08043e981e3134a9076326fa02ec0d6076,30000
0x7a957a23b489c43dc45dc9a32f73d6ee5ff561d6,30000
0x5800822f7eb5301fd233d4081ca39f733bd447e8,30000
