address,amount
0x2b3e3c669acd8c3ddc84a6bed1bf10441fe241f1,15000
0x2d1f339f268511b5a47297fd03b661d78c958b12,15000
0x1a7a303b02d2dcedca0dd1773377c6b5c920da17,15000
0x2717c80dc9c09623efb3d6a01bcdd695bdf4c25e,15000
0x5f3ad25f436c9eff92d132b6164728095ea6c61b,15000
0xb6d005fc9cf94c49744fef29fd0cdb66681dd0e0,15000
0x423f84772ad7fea460a5cb1d438c2f4266aa6877,15000
0xe1085f90763bf27516cb327fa4c0241a565fab68,15000
0x23433aa8be1beb7cddd194c172725982ae12c4b2,15000
0xe76e853a97a9e1bfb7e215e633e11b5b0a432764,15000
0x2bc5c5ccbacb32c288f64478d7d116825300be76,15000
0x2e60a893165c057f495dcfc078d9d922296463ee,15000
0x20d9e7f5fd86fbcc77834d259e660455a3f6c90a,15000
0x1aec9e15468a14d873e2d73b76cff1eefef162ff,15000
0x9d5be9652a831260cfd1323cb9aa2cf28cfd8c77,15000
0x2ef6b36de790b5c85f707f9d8240f607273efd77,15000
0xcbd035649719cb9fce16c8e56709fdff11244152,15000
0x6c72db7233d32a0c46db0615d9d2a5c7909d7a3f,15000
0x51aca4496219ffaad5790afd71ea8de016c082f0,15000
0x4255a4e3c66d70b493b2e30825643d1481466dcb,15000
0xd83391603c520f6885bd035b740b90fd8994a473,15000
0x8023aafd35f61bb8623aa83be387babf2bdc0208,15000
0xbc4f78c9d96fc31574174cd278af46f7c68e9138,15000
0x415799b4eecc6d561d7ab97bbd494d469e1155a2,15000
0x95132837727896b8f97b0c72020ad4f2f0187a99,15000
0xcd9c4265ec8dc79540cc71c4f76a9a24b68bd575,15000
0x83be86b810747fa17653d0644c69efbde416b8ae,15000
0xc8cba4beccac1cd6450db173080c77b10f12a1e1,15000
0xa2d234c9a6888503fc7eb9eb2a252723d57fb7e1,15000
0x001aef8094d70668247333c646a8e8ecfd619890,15000
0xb7a0c6186d13fb2a74b20d5d1763c575be91cdcb,15000
0x027d6b09c1464d4c00c22d3c6b085f0fc95624c3,15000
0x564e6f629eea52f15713c46f9a40ea44c6e964cd,15000
0x37d35ca8311822a8308365f4b2f0622ea6e18d92,15000
0x93ffcbed3da5d7fe2510718d1970515eeb4dc17d,15000
0xf97c9e9d29b772a5495680a0410add0f11bec50b,15000
0x3bc72f5ac1e1c3e3a9e9a0757b30bc6133766cfc,15000
0xb69171679b318927ec53a397692934dd4580de4b,15000
0x3ccb689c5b3034268dea7065a246d8c811e1e0ed,15000
0x9c28f3b07864ea8296c3d5c88ab0b1856b98df6a,15000
0xd061a90615a34f6293b3db71bb2a590cc0449a0d,15000
0xa8f0c411a57bc3a95ba631cee6b37550fb5d93ae,15000
0x2deb71b253a21ce7c4d3b737cf4c8b708b1aa684,15000
0xfe44985fbb6b763d173a7a666c72457b6b44f5eb,15000
0x8479ef027260e72231125ee8a5c1c6872618b071,15000
0x0d82f0796948cf67c3ad2e01b56a64dcaaf109c9,15000
0xb54dcae65c43c92a5a8c7f9e4e8184a24d4a74ec,15000
0x5d428310549b89a590b85461f4625fc7b5426a41,15000
0x473bbba8b64e0c118f90251480d7e9121c96b935,15000
0xd983f011a6067fd634866c06d69c8e1c4f9b97c6,15000
0x21b7b3cf1a1d1cb0b84849aabfc87736ccfae6a5,15000
0x94475088f17b2c76e52851650da267aa5f3c9873,15000
0x66b0be2d71b7aaf40764af1ad6b915b4bd0c8430,15000
0x245a56a8a5e7d90037803f551488ae8849cc81f1,15000
0x8fdd6e53f3ca28145c3e7d5a66b2cb78cc9957a6,15000
0xb60602bf53b8678b22b4bfb98eece3ed2f78cae4,15000
0x47479e4ab0d869cac7c906acd2b9a61f07ce4e91,15000
0xa65891dc0f9da52ac7955d51273d4424c36a8f36,15000
0x5c59a6b16130499c838be0492340b766f91a4d9c,15000
0x5069565b1384e2d441209f41bf64e89470516ae1,15000
0x726734db46752b4e3e39d966388f8865ebdf7a88,15000
0xebda0b4045cfe00ec2dc6f4bebfae6bfccbbcc97,15000
0x57749eff6eb6689564f60fc8b1792372eba80ce7,15000
0x74fefdf23da5b3cb47b6507bce9eaec5b7ddc975,15000
0x909878fc6f370741319f6df6b9a5ca86bb501210,15000
0x5435001985c04786d9b3f1422a591f2fc2a80ded,15000
0xee4f0f4d550b856dd8fa013a0e7916a157749f5a,15000
0xd11ae50aa97fb1c8f73f41b5885beb82dd7221b8,15000
0xed1d431de8eb00a415e9216222cf540b781a6f8a,15000
0x171f36d6735e1b0b7a68aaf404d843599229197f,15000
0x91324d71f5c9231723a1d23a5f7df3bc64bf0a6c,15000
0xf1354d8563444e5e80cb5356668900de96253963,15000
0x4f163675ff2bffa9fb669c0e1b6d15f793b5f6d1,15000
0x6d27c42eeabdf9a87ec8e71e1627001c766d9a2a,15000
0xec407b633effa24f210795c0eb21a7fc4d74b922,15000
0x6008d40f01ba3e8973e6a34d4e1f0f757c7b4639,15000
0xfb32f0a1188f20902976a130a6f9194d3ca06301,15000
0x02d1743f12206629d13228d17859d4270358b257,15000
0xab9476575dffc41f32c5d294aca1ac8b271a4413,15000
0x32c009a07313d06db25d3762186e5284b119217b,15000
0xce7434b30a091d1ea40bf1048b6e4c4caaf33f13,15000
0xf8f7d5b3fe9a4b54692022a7d1d76c99fee6c70b,15000
0xcbe19b803f49a6d32c7e05cef591c5a4f4a51202,15000
0x63c14f7022cf4ba9eada32ba6737949302c24131,15000
0x91a069a75e00116a37167f622f25059905324617,15000
0xc2ba13c0a4b4d85ca5af14f19dcca12b0602d0c6,15000
0xe57d5b434f38f48dfbeb3568ac0c4afa1c6bb073,15000
0x9b7816f3eb2d35a24edd9bb4f33f05e9a2332494,15000
0x8871efc678c4bbfaed3664242882bae26f04b0da,15000
0xaaea7cb7dbb3dde25db79fe5ee09c42c18779e15,15000
0x8aee85623f582f380b09aaa1cd1f905a102aa0be,15000
0x91b872aa031b6b95752b76d14ec83a717a3d21cf,15000
0x3aadc2f2bf2904fb6f242394035d0deff3bc9ff4,15000
0xc3c695ad254f07cfe9e7c98102002e9bf001ef50,15000
0x1390d3cb96d9ee8752a879e7b98e39985d84e8d2,15000
0x6bf74318f3184b55125151f107807355960f460f,15000
0x47f501ffab41a68aa98ac80a5c83cfa464af1212,15000
0x8712b8dc5bd3a05ff58bd693af0d5851763bfa4b,15000
0x93a9a315274a6da219eb01af63681399db2a69c7,15000
0x483e31ad6996856fadb54aa7e70103558dcf8abe,15000
0xcf19bafccbf27369ceea7ff0f60c891dec1a0830,15000
0x38884c31da61b97c7cdff12e33a92ef37412c09c,15000
